model,train_size,repeat,acc,f1,baseline
gpt2,20,4,0.25,0.1511111111111111,0.2
gpt2,20,5,0.5,0.3768518518518518,0.2
gpt2,20,6,0.375,0.22476190476190477,0.2
gpt2,20,7,0.3,0.22350332594235037,0.2
gpt2,20,8,0.25,0.16421052631578947,0.2
gpt2,20,9,0.25,0.1736842105263158,0.2
gpt2,20,10,0.35,0.2587301587301587,0.2
gpt2,20,11,0.225,0.11076923076923077,0.2
gpt2,20,12,0.3,0.1823451910408432,0.2
gpt2,20,13,0.325,0.23452991452991453,0.2
gpt2,20,14,0.3,0.19047619047619047,0.2
gpt2,20,15,0.3,0.19047619047619047,0.2
gpt2,20,16,0.3,0.22285714285714286,0.2
gpt2,20,17,0.225,0.10909090909090909,0.2
gpt2,20,18,0.5,0.38864838864838863,0.2
gpt2,20,19,0.375,0.2764957264957265,0.2
gpt2,20,20,0.5,0.404532722179781,0.2
gpt2,20,21,0.325,0.2156862745098039,0.2
gpt2,20,22,0.25,0.15353535353535355,0.2
gpt2,20,23,0.175,0.13665349143610012,0.2
gpt2,20,24,0.45,0.3626856803327391,0.2
gpt2,20,25,0.225,0.10747474747474747,0.2
gpt2,20,26,0.3,0.21886304909560722,0.2
gpt2,20,27,0.225,0.10909090909090909,0.2
