section,source_file,group,metric,estimate,n,numerator,ci95_low,ci95_high
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=b_then_a_layers,content_preserved,0.475,40,19.0,0.32935229550181694,0.6250289314607027
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=none,a_marker_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=none,b_marker_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=none,both_markers_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=none,content_preserved,0.8,40,32.0,0.6524239261814333,0.8950013502683314
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=random_sum_late,a_marker_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=random_sum_late,b_marker_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=random_sum_late,both_markers_hit,0.0,40,0.0,0.0,0.08762453925039232
gpt2_question_exclamation_composition_same_sentence,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_steering_raw.csv,control=random_sum_late,content_preserved,0.575,40,23.0,0.42194800436059987,0.7149083147518411
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=copy_sentence,ab_ba_marker_profile_equal,0.65,40,26.0,0.4950559699353739,0.7786566682895086
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=copy_sentence,ab_equals_ba,0.2,40,8.0,0.10499864973166874,0.34757607381856676
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=copy_sentence,ab_equals_plus,0.15,40,6.0,0.07061091708507435,0.2907262603902003
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=copy_sentence,ba_equals_plus,0.2,40,8.0,0.10499864973166874,0.34757607381856676
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=repeat_sentence,ab_ba_marker_profile_equal,0.725,40,29.0,0.5716474916687543,0.8389214656685692
gpt2_question_exclamation_order_contrast,results\experiments\gpt2_question_exclamation_marker_composition_layer2_3_20260801_results\csv\marker_composition_order_contrast_raw.csv,prompt_style=repeat_sentence,ab_equals_ba,0.3,40,12.0,0.18074670915695296,0.454303106543204
