model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test,mean_target_cosine,mean_mse,cells
BAAI/bge-m3,10.0,zh,linear,Q,0.8964147858958198,0.2873404304342443,160.0,,,
BAAI/bge-m3,10.0,zh,affine,Q,0.8896535038948059,0.3084378838539123,160.0,,,
BAAI/bge-m3,10.0,zh,additive,M,0.9775152206420898,0.0602398738265037,160.0,,,
BAAI/bge-m3,10.0,zh,linear,M,0.9417517935027158,0.1519307141680552,160.0,,,
BAAI/bge-m3,10.0,zh,affine,M,0.9430853128433228,0.1484615504741668,160.0,,,
BAAI/bge-m3,10.0,zh,additive,T,0.9541274309158324,0.1256109774112701,160.0,,,
BAAI/bge-m3,10.0,zh,linear,T,0.9131154671921944,0.2305573911762402,160.0,,,
BAAI/bge-m3,10.0,zh,affine,T,0.912165343761444,0.2358182221651077,160.0,,,
BAAI/bge-m3,10.0,ar,additive,N,0.7329573631286621,0.9800283312797546,160.0,,,
BAAI/bge-m3,10.0,ar,linear,N,0.4643353401919471,1.607702438484699,160.0,,,
BAAI/bge-m3,10.0,ar,affine,N,0.3159655928611755,2.3775947093963623,160.0,,,
BAAI/bge-m3,10.0,ar,additive,Q,0.7821540236473083,0.7636414766311646,160.0,,,
BAAI/bge-m3,10.0,ar,linear,Q,0.529202719523142,1.452398878566759,160.0,,,
BAAI/bge-m3,10.0,ar,affine,Q,0.5004156231880188,1.6178810596466064,160.0,,,
BAAI/bge-m3,10.0,ar,additive,M,0.9402869939804076,0.1939722001552581,160.0,,,
BAAI/bge-m3,10.0,ar,linear,M,0.7077462136665782,0.8106338278274077,160.0,,,
BAAI/bge-m3,10.0,ar,affine,M,0.5921667814254761,1.169963240623474,160.0,,,
BAAI/bge-m3,10.0,ar,additive,T,0.8160204887390137,0.6108875870704651,160.0,,,
BAAI/bge-m3,10.0,ar,linear,T,0.5690758118751156,1.2365744010354305,160.0,,,
BAAI/bge-m3,10.0,ar,affine,T,0.4899440407752991,1.540024757385254,160.0,,,
BAAI/bge-m3,100.0,en,additive,N,0.8594987988471985,0.3837282061576843,160.0,,,
BAAI/bge-m3,100.0,en,linear,N,0.91640710656771,0.2372720144984764,160.0,,,
BAAI/bge-m3,100.0,en,affine,N,0.9167579412460328,0.2370990961790084,160.0,,,
BAAI/bge-m3,100.0,en,additive,Q,0.9442617297172546,0.1458320170640945,160.0,,,
BAAI/bge-m3,100.0,en,linear,Q,0.8507468391631298,0.3762581632562435,160.0,,,
BAAI/bge-m3,100.0,en,affine,Q,0.8522300720214844,0.3719736039638519,160.0,,,
BAAI/bge-m3,100.0,en,additive,M,0.98228657245636,0.0480895303189754,160.0,,,
BAAI/bge-m3,100.0,en,linear,M,0.9499060221539484,0.1324917683683827,160.0,,,
BAAI/bge-m3,100.0,en,affine,M,0.9499858617782592,0.1327289044857025,160.0,,,
BAAI/bge-m3,100.0,en,additive,T,0.9453514218330384,0.1524547636508941,160.0,,,
BAAI/bge-m3,100.0,en,linear,T,0.930804780884916,0.1934633303866713,160.0,,,
BAAI/bge-m3,100.0,en,affine,T,0.9310779571533204,0.1934694349765777,160.0,,,
BAAI/bge-m3,100.0,es,additive,N,0.8618721961975098,0.3939732909202575,160.0,,,
BAAI/bge-m3,100.0,es,linear,N,0.8833576220816848,0.3211526818126383,160.0,,,
BAAI/bge-m3,100.0,es,affine,N,0.887097954750061,0.3100455105304718,160.0,,,
BAAI/bge-m3,100.0,es,additive,Q,0.9469982981681824,0.1533045321702957,160.0,,,
BAAI/bge-m3,100.0,es,linear,Q,0.8776096713927769,0.3401523101157742,160.0,,,
BAAI/bge-m3,100.0,es,affine,Q,0.8764669299125671,0.3437319695949554,160.0,,,
BAAI/bge-m3,100.0,es,additive,M,0.9544795155525208,0.1277608871459961,160.0,,,
BAAI/bge-m3,100.0,es,linear,M,0.8920117357325527,0.2780406659380546,160.0,,,
BAAI/bge-m3,100.0,es,affine,M,0.8905690908432007,0.2802951335906982,160.0,,,
BAAI/bge-m3,100.0,es,additive,T,0.9254791140556335,0.2248622924089431,160.0,,,
BAAI/bge-m3,100.0,es,linear,T,0.8768723839523446,0.3267040543603104,160.0,,,
BAAI/bge-m3,100.0,es,affine,T,0.8785825967788696,0.3224304318428039,160.0,,,
BAAI/bge-m3,100.0,fr,additive,N,0.8930782079696655,0.2849233150482178,160.0,,,
BAAI/bge-m3,100.0,fr,linear,N,0.8945029388781203,0.2805374201335046,160.0,,,
BAAI/bge-m3,100.0,fr,affine,N,0.8950260281562805,0.2790584862232208,160.0,,,
BAAI/bge-m3,100.0,fr,additive,Q,0.9153528213500975,0.2388777732849121,160.0,,,
BAAI/bge-m3,100.0,fr,linear,Q,0.8920342927725604,0.3091364934630314,160.0,,,
BAAI/bge-m3,100.0,fr,affine,Q,0.89215487241745,0.3091303706169128,160.0,,,
